hgnc_symbol	TCGA.A7.A13D.01A.13R.A12P.07	TCGA.E9.A1RH.11A.34R.A169.07
ANKMY2	12.1982	19.0469
ACTR3C	1.6374	0.6497
POU6F2	0.03	0.39
TSPAN13	199.8553	99.5363
RARRES2	66.1525	295.9028
AGR2	4.188	21.024
AHR	13.6777	16.0103
CHCHD3	62.704	38.7125
GIMAP2	3.0932	17.2292
TMEM176B	8.3201	96.4209
GLI3	10.1063	7.4848
PSMA2	0.2084	0.1859
MRPL32	28.8258	27.9226
COA1	10.8191	6.6002
BLVRA	49.1829	79.0535
URGCP	18.2549	11.0925
TMEM248	83.9568	66.937
RHEB	94.297	39.3745
PRKAG2	7.2077	5.8818
AEBP1	610.5079	336.7872
POLD2	149.3079	38.1518
MYL7	1.1978	4.6593
GCK	0.0572	0.2893
BCL7B	51.3011	41.9161
YKT6	94.3355	21.0967
TBL2	42.461	12.1162
GALNTL5	0	0
CLIP2	20.3708	6.5828
EIF4H	181.4946	91.8212
LIMK1	70.7099	6.0803
SPATA6L	0.061	0.2763
SLC1A1	4.859	4.3334
LHX2	0.04	0.0693
FKTN	2.4209	2.9481
FSD1L	1.2478	1.1259
CNTNAP3	0.7075	1.1271
SPIN1	59.4511	62.7019
NMRK1	10.6116	25.0995
TMEM245	15.7147	56.4097
PRUNE2	0.5437	6.1325
MEGF9	11.9828	25.8379
TRIM14	30.7328	10.2469
CORO2A	16.7482	4.1497
TGFBR1	29.5335	28.5607
SEC61B	196.61	101.2118
C5	0.5729	5.7432
OGN	0.8192	208.7251
ASPN	45.1078	54.2704
ECM2	5.2981	132.4127
TLE4	5.6557	6.432
LHX6	1.3542	8.5213
PTGR1	20.7258	35.7056
SUSD1	7.8872	6.5849
AMBP	0.1578	0.2965
AKNA	6.4387	7.3673
TNFSF8	0.7555	2.1888
DNM1	2.9386	9.7625
ENG	87.2128	122.6786
AK1	6.8503	4.9226
CDC37L1	7.5411	31.3619
RLN2	1.4547	0.6728
RLN1	0.4798	0.3026
PLGRKT	17.0524	22.757
TBC1D13	20.8542	43.2361
RIC1	6.4235	12.8029
KDM4C	6.6894	5.5705
DOCK8	3.989	10.3872
KANK1	30.0637	44.5445
ELAVL2	1.6308	0.1599
NCS1	41.1897	5.3948
TESK1	42.936	58.3699
KCNT1	0.2656	0.0666
CA9	38.8489	0.1345
FUBP3	18.4227	21.6509
TYRP1	8.3203	0.1158
CREB3	135.6787	57.057
RGP1	25.7739	11.804
MPDZ	6.5852	32.7419
LHX3	0.013	0
EDF1	435.2165	231.288
PIP5K1B	0.9407	2.3368
GLIS3	2.691	0.7478
BAG1	12.3945	22.592
RAPGEF1	38.7362	48.1757
NPDC1	6.8056	35.8561
APBA1	2.964	2.1508
SETX	15.8345	27.2922
SH3GL2	0.0185	0.3374
PTGDS	0.1656	1.4359
ABCA2	10.2202	16.1803
SHB	9.9295	1.5988
UBE2R2	118.2799	56.6258
ABHD17B	17.4115	9.5915
EXOSC3	4.5596	2.9712
ZFAND5	43.052	120.1492
DVL1	67.9024	20.2636
PDLIM1	116.7959	141.329
CCNJ	6.1467	4.6419
DNTT	0	0
GATA3	50.6006	28.4893
ATRNL1	0.0802	0.4215
HPS1	21.0462	23.9976
PHYH	29.166	72.0725
RASSF4	25.4766	16.4341
DNMBP	5.1606	11.0301
RAB11FIP2	5.8813	14.5228
CXCL12	34.788	330.7451
ERLIN1	23.7828	41.1249
EIF3A	161.069	117.7303
PKD2L1	0.7008	0.1367
CUBN	0.6621	1.9769
TRDMT1	2.9705	1.6688
DDX50	53.8364	49.8788
MAPK8	9.5726	6.6241
SEC23IP	26.7503	16.0019
ATE1	11.2299	22.3858
NSMCE4A	14.6461	21.0911
PLEKHA1	6.0658	4.2609
PALD1	10.2064	6.9925
UNC5B	54.0746	4.2757
CDH23	0.617	8.6696
SPOCK2	0.7471	8.18
MICU1	35.6081	46.2908
PPP3CB	13.0106	59.5174
CCSER2	16.0276	27.9524
BMPR1A	6.9617	14.0654
MINPP1	9.8567	11.9754
ACTA2	173.8792	158.0574
LIPA	25.6771	72.472
TLX1	1.71	0.0165
LZTS2	28.4496	22.6226
SFXN3	33.3246	20.9291
KAZALD1	2.9667	2.915
FBXW4	22.8481	34.0708
FGF8	0	0.0609
NPM3	98.9842	15.9928
TNKS2	23.285	36.157
PITX3	0	0.1211
GBF1	12.4101	10.0875
ARHGAP21	77.0122	43.7074
CPEB3	0.7876	2.6446
FBXL15	4.3872	4.7891
CUEDC2	69.0686	62.3918
SUFU	10.2547	10.3708
ANKRD26	2.3175	2.1182
ACBD5	15.6235	10.588
LHPP	17.2889	13.5594
LARP4B	47.4457	12.3174
GTPBP4	95.6579	18.1955
EDRF1	5.9944	4.181
BCCIP	43.2367	19.1708
MTPAP	15.0147	5.2446
NEURL1	0.0905	0.1221
SH3PXD2A	31.3225	20.2065
PITRM1	36.3859	14.955
MAP3K8	5.5755	13.9514
DKK1	188.8205	0.3896
EBF3	0.9247	21.1503
GLRX3	45.6068	18.9871
SORCS1	0.015	0.3995
XPNPEP1	29.6195	12.4162
SMC3	49.6056	35.8076
SHOC2	32.4855	42.4101
TFAM	24.2203	22.6749
CCDC6	62.9722	30.9338
CUL2	39.886	21.9179
CCNY	85.7729	42.334
UBE2S	58.0954	1.4531
RPL28	327.8028	126.6573
ZMIZ1	32.6786	38.8788
DNAJC12	2.426	2.0229
PPIF	92.6921	42.119
PBLD	3.1353	6.7263
TSPAN14	17.5243	21.2778
LGI1	0	0.0672
TBC1D12	3.7322	8.9555
CYP2C18	0.0432	0.206
KRT23	224.752	21.9766
CRYBA1	0	0.1084
NUFIP2	27.661	24.6678
GIT1	38.6799	22.3008
RPL19	447.3352	556.0885
FBXL20	5.0424	9.7907
RUNDC3A	0.4578	0.0353
UBTF	49.6456	29.5081
CSF3	0	0.0585
PSMD3	83.3805	39.7311
CASC3	44.7162	56.6548
RAPGEFL1	5.5236	1.6822
RGS9	13.721	1.7919
RNF43	1.8448	0.5196
WNT3	1.3217	4.2295
ASPA	0.1451	15.6568
RAD51C	5.7806	5.5049
SEPTIN4	2.2203	9.4735
MTMR4	16.1334	17.3597
TRIM37	14.2623	10.9159
P2RX1	0.215	0.6689
DHX40	18.5186	25.6421
KRT37	0.0286	0.0248
TUBD1	7.994	6.3093
KPNB1	57.3567	56.9826
GOSR2	7.9744	7.7135
PNPO	4.7451	7.5924
RPS6KB1	6.6445	14.8297
TRIM16L	3.1235	3.4683
CDK5RAP3	1.4779	1.1392
CBX1	73.9251	45.9557
RECQL5	13.3248	5.4049
PIGL	2.3077	3.5882
GALK1	57.7638	8.113
INTS2	5.5118	5.6626
CAMTA2	10.4066	18.5952
MED13	28.0797	21.3222
HOXB6	0.4982	1.6616
ENO3	1.0346	1.865
PFN1	849.157	262.4832
RNF167	101.0817	78.2124
SLC25A11	50.178	50.8163
RASD1	8.9058	77.0577
CHRNE	0.2692	0.4424
RAI1	20.209	4.7691
NUP88	27.9773	11.8066
C1QBP	117.8898	49.1804
SLC6A4	0.0786	0.4028
BLMH	10.4196	17.3195
CPD	16.4044	34.3559
GOSR1	13.2953	12.5
CCDC47	97.4185	57.9771
MED31	3.1022	2.9982
DRG2	8.7	6.9135
FTSJ3	67.9589	23.8296
AKAP10	9.8574	16.7568
ALDH3A1	0.3731	0.424
SMARCD2	168.2299	76.8257
ICAM2	3.2617	9.9267
SYNGR2	220.4214	55.2213
B9D1	2.6335	2.0391
UTP6	30.7277	12.0975
DDX5	193.8529	134.3987
C17orf75	4.31	4.9961
CYTH1	60.6607	12.8903
PSMD11	39.5119	24.1178
LGALS3BP	1322.7662	436.649
ASIC2	0	0.0513
CCL7	13.2399	0
CCL2	39.8459	24.0529
CCL8	19.9697	7.7302
CCL1	0	0.0728
PEX12	3.6417	12.586
KRT32	0.3484	0
DHX58	12.9697	10.0705
KAT2A	71.8096	18.6716
RAB5C	116.6274	35.5218
NAGLU	51.6634	37.7702
HSD17B1	10.0763	0.8871
MLX	95.8624	35.978
CNTNAP1	2.3895	4.611
ABI3	4.0847	7.7511
EZH1	23.9552	47.6282
DLX4	0.9627	0.3578
PPP1R9B	33.0644	23.8214
COL1A1	1844.3773	431.9899
SGCA	0.9372	3.7456
PTGES3L-AARSD1	0	0
MRPL27	31.5729	22.4942
VAT1	932.9537	284.3204
LRRC59	138.7179	27.2386
RND2	3.9295	1.5453
ALOX12	0.8473	1.4858
HDAC5	32.2505	24.3155
ABCC3	4.3071	2.8171
LUC7L3	21.6115	36.5203
PPY	0	0
MPP2	3.1174	2.1302
SMURF2	21.5063	16.1307
DUSP3	39.8803	55.2619
CACNG1	0.3832	0.2326
EFTUD2	38.671	17.9802
HLF	3.1221	35.4403
SLC16A6	0.9829	0.8098
PRKAR1A	79.1406	148.6794
EFNB3	15.9646	2.4621
FAM20A	11.9552	6.8183
YWHAE	435.9214	340.6388
MMD	15.939	433.8161
RANGRF	2.4245	0.8227
DPH1	4.5242	4.3702
MAP2K6	2.7104	4.7321
DHRS7B	11.0699	15.2191
WSB1	22.6739	24.1144
RCVRN	0.0388	0.101
MYH1	0.1408	3.1681
SLC9A3R1	255.5777	38.9219
MYH3	1.6871	1.1393
NAT9	31.6891	8.1283
TMEM104	28.0428	9.0724
VTN	0.0524	0.3409
TNFAIP1	44.0193	32.4769
IFT20	10.9934	7.9914
TMEM97	33.661	5.4216
CDR2L	85.6659	11.7228
PMP22	71.2057	81.1785
FOXN1	0.0548	0.0951
UNC119	18.5074	9.5549
ALDOC	41.3566	89.2219
SUPT6H	102.0319	36.7796
RAB34	105.3044	23.8157
PHF12	6.9414	8.2065
PHOX2B	0	0
TMEM33	15.6608	14.4401
GABRA4	0	0.0038
GNRHR	0.0227	0.0491
SLAIN2	21.5137	37.08
OCIAD1	32.4097	65.5921
UGT2B10	0	0
CWH43	0.6417	0.0696
DCUN1D4	10.2212	18.4653
USP46	9.8444	6.6156
SULT1E1	0.0718	0
ODAM	185.4625	0.1108
SMR3A	0	0
CHIC2	23.7944	15.7566
NMU	1.1258	0.0888
LAMTOR3	15.5294	25.2299
PF4V1	0.3358	0.0582
NFKB1	24.6927	24.9313
AREG	2.4917	3.1885
MANBA	10.7583	9.4291
UBE2D3	43.6013	61.4401
MAPK10	0.4565	3.2587
ELF2	6.8664	14.1888
NDUFC1	22.0979	24.3515
UCP1	0.0308	0.1335
TBC1D9	18.4453	37.5231
ZNF330	22.449	30.4215
INPP4B	3.1799	5.7079
GAB1	11.9721	12.2294
KLHL2	13.9438	13.5897
IL2	0	0.0387
CPE	128.0418	216.3457
RPL34	183.9496	327.4069
WFS1	26.5342	44.0745
ANXA10	0.0544	0.0471
GRPEL1	26.898	25.0758
GAR1	47.6851	11.9409
FRG1	34.9852	39.0835
CLCN3	31.1554	34.0802
AADAT	12.8854	3.5693
GALNT7	13.9857	6.4964
DHX15	39.5692	29.5349
SOD3	10.2857	183.6472
SEPSECS	1.6315	8.8217
CPZ	0.1882	0.0879
TRIM2	27.4435	8.4252
SLC2A9	1.754	1.4036
FBXW7	6.1989	9.0211
NEIL3	5.7874	0.297
TBC1D19	2.8336	5.291
CLNK	0	0.085
SH3D19	9.3787	135.6606
STIM2	4.3612	9.6486
NKX3-2	1.0602	0.1341
MFSD10	55.4676	23.6641
GLRB	4.1788	12.122
BST1	1.4803	11.3572
RAPGEF2	8.8139	14.6936
HGFAC	0.0905	0.0157
SNX25	11.802	6.3252
LRP2BP	0.8542	0.8524
UFSP2	23.0618	32.3662
KLF3	16.875	39.665
KLHL5	24.5015	29.8947
FAM149A	1.1188	14.13
NCAPG	13.8455	0.9552
UGDH	29.6025	30.584
PPARGC1A	0.2938	1.2021
DDX25	0.0136	0.1215
CRYAB	104.6461	256.2523
DBX1	0	0
HTATIP2	35.2801	21.2322
CTSC	10.0859	15.2658
CCDC34	8.7047	6.6836
ZBTB16	0.0364	36.5069
ELP4	0.7984	1.2069
ZPR1	15.8848	12.0281
MTCH2	97.7644	71.8949
FNBP4	15.7171	16.4808
TECTA	0.3783	0.4426
SC5D	12.4862	28.004
CRTAM	0.149	0.2423
B3GAT1	0.0042	0.3057
HSPA8	961.0385	382.2032
P2RX3	0.0113	0.0781
VWA5A	4.3377	18.8558
DNAJC4	13.7759	15.4147
SIAE	6.8862	12.2968
SNX15	0.0817	0.381
LPXN	5.926	8.296
DTX4	15.8148	13.1899
ATG2A	10.5804	9.6503
EHD1	43.0703	25.4704
OSBP	40.115	48.5658
UNC93B1	21.1237	17.107
PUS3	26.0896	11.0218
DCPS	21.5628	4.1353
FOXRED1	21.9356	9.561
PPP6R3	25.8519	26.0344
NRXN2	0.5136	0.4536
MS4A6A	1.0942	28.5123
MS4A4A	1.2533	38.951
ST3GAL4	39.292	8.484
CPT1A	25.2096	31.3571
CCND1	54.4751	133.7062
CCDC86	16.1839	6.8231
PRPF19	138.0968	63.1027
TMEM109	247.7957	208.8743
CCKBR	7.4505	0.0335
HPX	0.9619	0.8222
TRIM3	4.671	4.3135
CHORDC1	8.2312	4.4754
FOLR1	5.3292	4.9188
ANAPC15	3.1498	2.2062
FOLR3	0.143	0.093
PANX1	25.1051	11.1359
ARHGEF17	21.0274	17.7159
APOA5	0	0.0643
APOA4	0	0
APOC3	0	0
CEP164	5.9545	3.5029
RNF141	11.2352	26.3651
CEP126	0.3042	11.4505
EIF4G2	272.4809	264.5817
IL10RA	1.2042	8.9537
GALNT18	22.9111	6.8376
BIRC2	44.8089	32.3086
UBE4A	12.9054	22.6007
DDX6	50.3698	53.4315
UPK2	2.8854	0.308
CBL	10.8494	12.8205
HIPK3	47.3224	80.3002
KIAA1549L	9.914	0.6796
FBXO3	27.333	11.4239
PDHX	17.906	38.4653
SLC1A2	0.4245	0.3473
COMMD9	11.9213	14.2174
SLC15A3	7.129	8.2098
CD5	0.2393	0.8717
ACCS	2.2979	7.0597
SCGB2A2	0.0331	254.7115
MDK	109.9243	26.5605
AMBRA1	12.5047	11.3065
MADD	14.3734	12.1905
PTPMT1	1.2201	2.2108
NAA40	8.9609	5.7345
SLC22A18	5.084	3.7884
CD81	204.5533	347.9942
SLC35F2	34.7104	4.4598
C11orf21	0.0122	0.308
ELMOD1	0.1022	0.2882
CALCA	0	0.0204
SOX6	1.7961	1.3241
C11orf58	25.874	40.2777
PITPNM1	8.2875	3.674
RPS13	367.1967	466.8156
AIP	63.854	55.9231
NUP98	36.4341	27.8646
NDUFS8	28.8473	27.0348
TCIRG1	22.1136	16.4373
CHKA	13.6289	9.2743
EXPH5	2.8951	1.1149
HPS5	12.1151	14.9656
GTF2H1	15.0764	17.5134
POU2AF1	0.164	1.0638
PTPN5	0.0454	0.5746
VWF	59.8485	303.6004
PSMD9	0.6597	0.9815
P3H3	32.0089	9.4063
PPFIBP1	25.5794	22.4896
PRPF40B	2.7103	1.1866
CD69	0.3876	0.8556
PRDM4	17.4299	16.2123
CLEC2B	4.1422	21.7658
COQ5	13.9851	35.8298
SELPLG	4.3133	16.5626
CORO1C	64.9597	69.4368
ASIC1	3.2395	2.5909
DAO	0.0128	0.0111
CAPRIN2	4.0489	7.1978
TSPAN11	1.6197	2.5417
KCTD10	23.301	29.1947
SLC11A2	23.0857	10.0602
MLEC	101.3252	97.695
MVK	8.0749	4.3282
CSRNP2	26.6745	13.0387
CAMKK2	30.1612	33.6176
BIN2	2.6788	3.5063
IL23A	4.1509	0.8081
PTGES3	205.1155	172.7201
SYT10	0.0098	0
BCL7A	8.7554	6.9204
RSRC2	18.0182	18.2428
CYP27B1	1.8688	0.3162
MYF6	0	0
MYF5	0	0
LIN7A	0.4773	8.0043
KRT18	392.6434	38.0949
ACSS3	1.7267	24.8625
TNS2	10.8324	119.3433
GLI1	0.2188	1.1482
PPM1H	18.2406	3.9863
METAP2	40.0852	47.8938
LTA4H	12.4317	27.2704
ELK3	27.5585	53.1361
SLC6A12	0.2646	0.2704
WNT5B	15.1687	4.133
MAGOHB	16.2915	4.766
TRPV4	10.2597	1.1945
ITFG2	7.8492	9.3871
FOXM1	36.3336	0.862
PRR4	0.4951	0.3633
PRMT8	0.0299	0.0065
PARP11	2.696	6.0437
ARPC3	88.7633	77.2612
GPN3	16.2213	29.9196
VPS29	26.9085	47.5571
FGF6	0	0
MYL2	0.0704	0.3664
RAD51AP1	15.8252	1.2522
CUX2	0.0066	0.3746
SH2B3	14.994	20.1523
AKAP3	0.8832	1.0723
MANSC1	9.506	15.4349
KCNA1	0.1312	0.1626
DUSP16	22.0583	14.7183
CREBL2	13.7015	115.1343
ACAD10	4.6019	7.5312
ALDH2	4.4132	274.1046
CDKN1B	43.9235	90.5194
GPRC5D	4.7498	0.7314
NAA25	8.0673	5.7943
GSG1	0	0.0143
SCNN1A	7.4554	6.6494
LTBR	57.1067	24.6277
OGFOD2	0.314	0.1033
CDK2AP1	169.5382	47.3541
OAS3	44.4662	15.7945
OAS2	48.3899	19.0788
ART4	11.5582	0.6847
MGP	4376.6705	797.9535
RASAL1	13.114	0.4495
ARHGDIB	329.1089	137.0754
GTF2H3	14.5414	15.9253
EIF2B1	26.2614	37.686
DDX55	11.4263	7.3049
SLC38A1	73.6947	18.2841
RERGL	0.1933	24.1346
ENDOU	0.0186	0.856
VDR	29.1423	5.849
FZD10	0.4409	0.4746
RFC5	8.1086	7.0184
STX2	8.0009	16.178
ADGRD1	0.0203	6.209
COPZ1	116.9174	74.0948
TBC1D30	0.5203	0.2366
CAND1	31.7449	23.011
IL26	0	0.0406
IFNG	0	0.1787
RAB5B	53.4205	85.1059
MDM1	2.0037	4.3804
NUP107	9.9507	10.4341
CNOT2	9.7222	11.228
TIMELESS	22.1122	6.0714
CPSF6	26.9683	18.5762
KRR1	6.8666	9.075
MRPL51	226.9735	103.7462
GAPDH	5148.7583	406.0183
NOP2	0.2661	0.12
CHD4	6.0127	3.2606
ACRBP	1.4529	1.6595
COPS7A	56.7296	57.1945
ING4	26.4672	27.9996
GNB3	1.1904	0.4154
CDCA3	13.407	0.4966
CHPT1	14.1249	34.1112
USP5	98.5292	40.3946
TPI1	884.238	190.6406
GNPTAB	17.5609	14.0158
SPSB2	8.6686	3.494
ENO2	50.6879	8.2273
ATN1	82.5185	109.8305
C12orf57	16.3279	18.0647
PTPN6	12.7801	8.2841
LPCAT3	7.4848	5.0894
NT5DC3	15.0842	5.2462
SLCO1B3	0	0
APOBEC1	0	0
NANOG	0.0185	0
SUDS3	26.1596	19.7428
GOLT1B	42.1128	30.0794
GYS2	0	0.6462
LDHB	11.4577	12.344
PRKAB1	6.8377	12.1028
CMAS	57.3518	30.3585
HCFC2	4.9903	12.143
ST8SIA1	5.3675	1.7746
CLEC4A	0.039	0.304
C2CD5	11.0879	16.2539
AICDA	0.0161	0.0279
RAB35	38.1604	24.0576
PHC1	2.9446	3.534
COX6A1	53.249	34.7704
RFX4	0	0.0324
RIC8B	3.5002	7.2347
SRSF9	31.7602	14.5323
FGFR1OP2	10.3454	17.0973
KLRB1	0.0675	1.6394
COL12A1	128.1499	46.9537
BTN3A3	3.8273	18.675
TDP2	23.1459	36.685
FRK	10.7199	1.9266
DSE	7.0915	12.1372
RWDD1	12.0252	32.1329
RSPH4A	0.1757	0.3199
MAK	0.3293	0.3053
TMEM14C	202.943	199.87
PAK1IP1	61.4601	21.3931
GCNT2	24.0287	1.5329
SMIM8	2.2125	1.9434
NEDD9	21.564	12.4849
CEP85L	1.3548	2.3452
ADTRP	0.4804	1.2607
ASF1A	14.2613	16.5456
MCM9	2.3678	2.5243
FAM184A	1.0481	2.1881
RNGTT	9.8483	9.9999
MAN1A1	9.0683	123.9353
GABRR2	0.3812	0.5045
SERINC1	103.6386	511.1434
HDDC2	16.9058	20.3265
TPD52L1	16.45	6.3807
HINT3	30.5525	36.229
NCOA7	30.9864	23.5725
SASH1	8.7784	33.5399
UST	1.8271	18.5948
ULBP1	3.3719	0.0539
FBXO5	7.6991	2.7043
MTRF1L	2.2178	3.5646
PPARD	33.6405	17.6008
OPRM1	0	0
FANCE	8.1041	7.0119
TULP1	0.2567	0.0297
SLC26A8	0.1819	0.2223
MAPK14	27.8207	34.5712
RHAG	0.019	0.0658
KCTD20	38.2192	66.4191
STK38	60.2502	50.6798
SRSF3	95.4096	64.2776
MRPL18	98.1929	52.5906
IL17A	0	0
IL17F	0	0
MCM3	59.7102	44.0763
RNF8	8.4071	5.4713
PHACTR1	1.3396	0.5808
MDGA1	0.489	1.0172
FBXO9	5.7141	22.2144
CD83	15.6551	6.298
MDN1	9.8193	8.9184
GLP1R	1.0155	0.518
SAYSD1	14.2534	12.8638
BMP5	0.641	2.1144
BACH2	0.9839	2.0779
RBM24	0.3205	1.9708
CAP2	17.2829	37.8637
TREML2	0.0791	0.0572
ZNF451	3.2769	5.3487
BAG2	1.943	3.8058
RAB23	6.5526	6.8963
TSPO2	0.0464	0
FHL5	1.0283	14.977
GPR63	1.6975	0.3336
KHDRBS2	0	0.09
FBXL4	5.212	11.3263
CCNC	18.7663	20.8941
PRDM13	0.0772	0
E2F3	25.6879	4.9772
PTP4A1	0.0361	0.0157
SIM1	0.7749	4.3166
ASCC3	13.2958	8.9113
HDGFL1	0.1187	0
BVES	2.1799	4.8492
COL9A1	0.0717	0.0138
MED23	8.5869	13.5704
WASF1	9.7036	9.5166
GPLD1	0.38	7.9036
ALDH5A1	3.1931	17.318
VNN1	1.7741	2.7963
VNN2	1.3844	2.4511
ACOT13	5.2235	13.4219
SMAP1	8.4499	5.0274
RPS12	2584.7195	2756.2233
C6orf62	101.3313	156.4602
B3GAT2	0.2424	0.0854
GMNN	10.9625	8.5105
EYA4	0.0334	0.5881
SOBP	0.9353	5.5573
NR2E1	0	0.023
SNX3	168.8472	336.756
SLC17A2	0	0
HBS1L	12.9363	14.3059
TRIM38	11.8354	8.2238
PEX7	5.1959	6.1686
ZBTB24	9.034	6.0959
FIG4	1.6713	2.3787
PERP	264.2623	71.6858
ARFGEF3	10.2517	5.2387
SLC16A10	0.1909	0.6276
HECA	17.9574	27.9801
ADGRG6	7.673	5.3416
PHACTR2	8.3974	15.4858
EPM2A	0.4694	3.304
OR12D3	0	0
SLC39A7	227.6771	82.584
CCR6	0	0
UNC93A	0.0185	0
SLC22A2	0.1334	0.0072
PHF1	19.2033	28.5774
CUTA	156.3086	80.7029
PACRG	0.1528	0.5798
QKI	18.4392	48.3152
C6orf118	0.0223	0
PDE10A	1.2138	1.2377
MDFI	34.3067	43.0472
TFEB	6.1683	5.8319
SMOC2	16.7555	236.7568
CCND3	18.924	27.8046
BYSL	46.5467	10.8564
FAM120B	10.0718	21.308
TBP	12.8075	12.7493
GUCA1B	0.2418	0.9721
PRPH2	0.2161	1.4418
PPP2R5D	22.0557	22.4744
MRPL2	1.2181	1.2955
PTK7	102.0286	5.0998
SRF	38.5035	26.528
CUL9	3.4114	5.1639
DNPH1	43.9735	21.7907
DUSP22	16.4007	30.3858
EXOC2	23.1978	16.4059
COX7A2	86.8626	95.6784
TMEM30A	83.4491	91.3905
GMDS	41.7431	6.495
SENP6	13.4561	18.5325
IMPG1	0.4462	0.2845
VEGFA	69.9766	15.6094
PRPF4B	33.3681	23.1617
TTK	20.1042	0.4819
SLC29A1	43.1621	121.7435
BTN2A1	17.8132	14.602
LAMA4	27.5313	109.9728
CLIC5	0.2439	8.2498
FBRSL1	15.3602	6.7594
ENPP5	10.1892	4.1903
LY86	3.1936	4.3521
PRSS16	6.9231	1.8485
MEP1A	0	0.0435
TBX18	1.1474	6.5699
PCDHB2	7.4514	1.5838
HARS2	20.9429	20.4769
NUDT12	3.4223	11.1971
CEP72	9.298	1.3258
MAN2A1	9.7299	14.9272
SEMA5A	7.7835	8.149
C7	0.6048	30.5901
GHR	2.7217	188.8572
HMGCS1	32.6838	9.598
DAP	267.7802	64.2461
NME5	1.274	2.1372
BRD8	10.5002	14.4086
KIF20A	37.5899	0.9997
NNT	23.0296	28.216
MRPS30	22.4368	14.5281
HSPA9	62.7492	62.7938
MRPS27	12.3954	30.4484
PFDN1	48.481	50.5678
HBEGF	13.0662	5.1373
SLC4A9	0.0548	0.0119
LOX	40.6759	31.8719
GZMK	0.0318	0.6627
CDH9	0	0.0103
APBB3	1.7995	5.6392
TMCO6	4.6839	6.9845
SPARC	1490.3131	1622.998
IK	46.7931	66.9133
HMGCR	12.4738	10.0587
FAF2	29.2937	25.0602
HAND1	0	0
PCDHB3	0.7882	2.9018
PCDHB5	0.6877	2.2459
PCDHB6	16.8355	1.8415
PCDHB7	2.9617	2.9386
PDE8B	0.3835	4.5636
CLK4	4.1632	11.033
PCDHB15	0.7288	4.4348
HAVCR1	0.0232	0.0603
GRM6	0.2109	0.1254
ITK	0.0639	0.6551
RNF130	11.9162	28.9384
THG1L	10.0024	7.0431
ARSB	3.7678	5.1734
CLINT1	40.3461	32.9195
THBS4	2.1128	35.4234
CNOT6	22.5638	12.2987
IL12B	0.0211	0.0183
BTNL8	0.0254	0.1654
TTC1	52.9334	64.0106
MSH3	4.9998	17.7331
RASGRF2	2.9489	22.1288
GABRG2	0	0
CCNG1	59.1943	132.9939
POLR3G	2.6287	1.7312
DROSHA	47.5353	17.5524
CDH6	1.4155	1.6448
LMNB1	44.182	3.5968
ARRDC3	50.9363	60.3685
GOLPH3	232.845	92.2822
SUB1	106.7155	46.5706
NPR3	4.695	20.7782
FAM172A	9.1221	23.9798
SLC27A6	14.0784	1.6987
IRX4	0.0168	0.6402
LNPEP	7.7647	26.6999
PDE4D	0.7621	1.8469
RAD1	23.3705	6.583
BRIX1	42.946	8.8376
AGXT2	0.1263	0.1204
PRLR	35.2828	7.5486
SLC12A7	109.1897	22.2111
IL4	0.1217	0.0528
RAD50	0.3731	0.602
IL5	0.0315	0.1637
ST8SIA4	3.6342	4.8631
GNPDA1	27.8905	26.0118
PCDH12	17.6274	18.1668
SKP1	25.0243	34.3815
NUP155	41.2217	9.3692
PPP2CA	37.6133	40.2216
FGF1	11.1713	18.1678
NR3C1	12.0204	102.2854
C5orf15	39.8989	69.8211
PPWD1	8.3093	19.5668
LIFR	9.746	61.991
TRIM23	3.6237	15.4333
TRAPPC13	4.0589	6.419
C9	0.0332	0.0144
SEC24A	15.4182	15.3231
TXNDC15	18.2268	33.7188
TTC33	5.5251	6.9753
WWC1	19.2663	4.5278
TCERG1	19.8058	10.9538
DPYSL3	59.0487	93.795
SMAD5	16.2712	29.355
CSNK1A1	24.3991	23.2295
HMGXB3	27.7639	13.7828
ERGIC1	30.0549	36.8281
PDGFRB	102.8746	126.1627
CDX1	0.3654	0.2194
ATP6V0E1	271.618	260.0182
BNIP1	10.8175	7.2529
STC2	34.7834	38.2559
CPEB4	8.0643	12.0602
HRH2	2.0911	1.7981
DBN1	94.7027	41.9167
ZNF346	6.7462	4.0836
UNC5A	2.589	0.7918
EHHADH	4.9026	20.9322
CNTN3	0.752	3.2183
SMC4	28.9019	5.6604
ACTR8	13.0702	13.7694
TBCCD1	9.1333	5.883
TIMMDC1	76.6348	53.3892
CRBN	4.4527	15.5368
KNG1	0	0.0094
HRG	0.01	0
BCL6	16.8195	70.8445
HGD	0.1302	1.8069
CLDN16	0.5544	0.052
ARL6	4.7259	5.4833
NPHP3	1.2173	1.7177
CD86	3.1647	6.0806
AMOTL2	40.4307	51.6037
NIT2	21.427	11.3214
FAM162A	56.1701	25.7812
OGG1	4.6507	4.1619
KPNA1	16.4282	13.8799
PCCB	24.8479	21.5711
UBE3A	8.1084	11.0236
ARMC8	10.4322	11.8866
CEP70	17.6767	7.9492
RBP2	0.2952	0.1536
RBP1	135.3116	5.2078
SLC25A36	16.746	23.1223
GRK7	0.077	0.0267
RNF7	55.9111	28.5671
TFDP2	12.0534	21.2836
XRN1	9.9566	11.321
KAT2B	3.897	27.5674
BCHE	5.7659	9.4933
