hgnc_symbol	TCGA.A7.A13D.01A.13R.A12P.07	TCGA.E9.A1RH.11A.34R.A169.07
SPAG9	20.3693	33.8422
CELSR3	1.1492	0.3437
AASS	1.3552	22.154
PLEKHG6	33.978	34.1786
SS18L2	13.9701	6.7027
MPND	10.5197	4.2234
MGST1	58.6728	241.8966
CRY1	11.9887	9.9984
PGLYRP1	0.0705	0.1833
NFIX	65.0772	125.1207
ST3GAL1	70.6494	27.5247
MMP25	1.8332	0.3159
IL32	235.2653	11.8791
PKD1	5.4677	11.5352
MAPK8IP2	70.4375	0.7917
MED24	36.6654	17.1784
RHOBTB2	3.2831	4.4964
HEATR5B	16.0261	17.7951
SEC62	38.5669	90.2332
RPS20	336.5815	413.273
CSDE1	455.457	590.2814
UBE3C	72.263	29.0934
REV3L	2.6223	14.2292
TENM1	0.1199	1.8521
PAX7	0.0077	0.0067
MASP2	0.082	1.545
IYD	0.0337	0.0251
FAM76A	12.1347	15.464
TRAF3IP3	0.4571	0.6086
POMT2	5.6442	4.5531
VTA1	15.6258	13.9799
MLXIPL	0.5907	40.3845
BAZ1B	86.5041	48.1354
RANBP9	33.0843	29.2766
ETV7	7.7764	1.0207
SPRTN	5.5758	3.6192
METTL13	41.1692	21.6741
DYRK4	4.5623	2.8339
ZNF207	20.2698	13.9398
UQCRC1	223.1742	94.1954
STARD3NL	23.0553	13.9094
CD9	171.779	47.1959
HHATL	0.0346	1.4383
NCAPD2	62.8049	17.5083
IFFO1	4.3892	9.2926
GIPR	0.3248	0.6061
PHF7	1.6909	6.5341
SEMA3G	2.5803	103.6162
NISCH	18.5497	32.8076
STAB1	5.08	39.7219
FUZ	2.0952	11.2385
SLC6A13	0	0.0408
IDS	1.8575	1.9926
PRSS3	9.6289	0.0607
ZNF200	3.7997	2.5045
CD4	8.2338	35.0844
LRRC23	6.7519	4.6502
BTK	1.047	3.9344
HFE	4.4488	10.9031
SCMH1	43.0511	32.0018
FYN	12.7246	26.0222
HIVEP2	10.143	15.8417
FMO1	0.845	7.4958
LYPLA2	144.1558	26.1199
CLCN6	1.8254	11.8324
MRC2	105.4759	69.509
NME1-NME2	0	0
SLC6A7	0.0467	0.0304
TSPAN9	22.5234	23.7369
BTBD7	6.0713	12.691
APBA3	7.7839	3.0387
MKS1	2.0559	2.174
ABHD5	12.363	48.2624
ANOS1	2.7477	15.6776
AKAP8L	11.3367	7.5906
MBTD1	7.7927	9.2212
UTP18	46.9419	19.2734
RNF216	37.461	15.729
TTC19	12.6758	15.9883
PTBP1	110.2129	41.5374
DPF1	0.395	0.0631
SYT7	51.1837	5.9988
LARS2	6.2616	3.5154
PIK3C2A	15.2711	30.3081
PLAUR	71.0088	4.1162
ANLN	87.7266	1.1183
WIZ	17.0112	13.0019
RABGAP1	25.7102	29.1343
DCN	52.2357	890.2655
QPCTL	41.6825	5.131
PPP5C	36.9376	9.6988
CEP68	6.4517	22.4148
MAP4K3	20.4986	17.7263
ZBTB32	0.9655	0.1264
TYROBP	36.4176	93.1217
GABRA3	1.2023	0.0626
BRCA1	5.1364	2.3155
ERCC1	79.0808	12.5422
CD22	0.3561	0.6878
SEMA3B	1.0813	12.9702
MBTPS2	10.3193	8.4362
PRICKLE3	12.2145	4.3908
LTF	3.2772	147.0001
EXTL3	9.7106	8.4144
NR1H4	0	0
ELOVL5	38.5371	343.8154
ALOX5	6.675	8.967
KDM5D	0	0
CALCOCO1	8.4056	49.4011
UBR7	14.8307	29.4585
MAP4K5	21.5689	14.4798
EHD3	14.8187	7.8647
PSMC4	192.0873	43.7103
MAN2B2	14.6474	24.2646
SLC7A14	0.0048	0.066
CLDN11	0.9122	29.0397
SLC25A39	187.242	39.465
MVP	48.831	40.2817
NUB1	38.2307	37.4877
PGM3	20.5039	15.1656
RWDD2A	5.997	12.2265
CLK1	22.3419	59.8403
POLR3B	8.8426	7.9405
ANGEL1	8.1974	7.9509
RNF14	27.4184	37.8562
DNASE1L1	9.4912	4.995
DDX11	6.9294	2.2702
HEBP1	34.0156	42.6002
GPRC5A	144.0799	7.0073
MAMLD1	7.6962	7.5746
CD6	1.5493	0.9441
TACC3	20.681	2.3257
UFL1	14.2794	29.5324
POLA2	2.1417	0.7926
ZC3H3	28.9101	7.7096
CAPN1	115.7179	33.4981
MDH1	81.1724	135.1835
SLC30A9	19.9193	24.4685
MTMR11	8.9816	5.6405
COX15	8.4004	22.0951
CCDC88C	6.8021	3.6423
YAF2	4.0371	3.2335
ZMYND11	75.869	70.5632
WAS	5.6003	5.0032
DPEP1	0.875	0.2529
BID	35.8976	11.4536
MATR3	0.6783	0.9146
NPC1L1	0.3126	0.9447
XYLT2	16.7777	10.074
RGPD5	0	0.0031
STMN4	0.0151	0.0131
NUDCD3	41.3668	33.3889
ISL1	0.372	0.4915
CHDH	6.7471	3.1561
IL20RA	0.5907	5.4612
CLCA1	0	0
CLCA4	0.1158	0.5523
GLT8D1	29.1617	34.8395
ATP2C1	113.5222	39.0439
IGF1	0.0061	10.2641
SLC38A5	13.548	0.883
RALBP1	36.8646	31.8398
RUFY3	8.2284	12.3528
CNTN1	9.9831	6.2201
SLC11A1	2.9963	0.5985
WWTR1	48.1929	34.3283
AGPS	17.2678	23.1496
ATP1A2	0.0396	89.8223
TTC27	22.1145	11.2477
ZNF582	2.1596	1.6274
VSIG2	0.4483	3.379
PHLDB1	10.4639	31.8077
MARCO	14.0398	49.0342
CYP24A1	0.1251	0.2387
PRDM11	1.2706	2.5266
SYT13	9.3193	0.4768
SNAI2	11.1774	20.1246
CD74	120.0829	573.488
HGF	0.1995	3.1011
ZRANB1	7.2766	10.6422
NCDN	26.6778	7.5855
ADGRA2	11.847	38.3461
ZFP64	13.0507	4.8749
MNAT1	7.5544	8.627
SAMD4A	5.5183	9.8691
RUNX3	11.303	2.9889
PLEKHB1	17.1645	3.1752
SERPINB1	25.3489	51.9315
CYP3A43	0.0568	0.1805
SLC7A9	1.2483	0.1332
SPAST	8.6992	6.0287
NRXN3	0.3822	0.1393
OSBPL5	15.6436	10.1905
AQR	11.0408	11.5268
CPS1	0.4121	4.6419
C8B	0.0548	0.0158
FHL1	11.5929	740.2107
GABRA1	0	0
NLRP2	59.5535	0.2879
SLC45A4	6.121	3.4181
RNF10	72.9402	70.5874
ZNF839	1.7048	2.9182
ZDHHC6	26.7182	21.1843
GRAMD1B	0.4841	0.359
RNH1	51.0998	46.5316
NDUFS1	14.1399	33.6905
RB1CC1	29.8992	30.1287
ERP44	45.599	40.3803
ALAS1	84.1099	47.2446
BIRC3	17.0831	5.7439
AKAP11	12.6865	29.7931
GLRX2	7.3839	7.33
SNAPC1	9.1209	4.5388
DERA	32.832	21.8884
STRAP	242.764	141.3133
ABCC2	0.6749	0.7177
DEF6	16.735	3.2548
PLEKHO1	23.017	5.9202
GCLM	20.2671	15.7814
UBR2	11.2397	25.9595
EHD2	124.1283	446.5928
DEPDC1	10.3695	0.3005
CCDC28A	22.5669	47.7452
RRAGD	18.1366	34.4285
HSF2	11.9697	15.2894
PHF20	28.6308	16.8849
HSD17B6	8.5428	0.4761
NR1H3	5.6784	37.5241
TYMP	80.3315	9.9158
NCAPH2	26.173	13.9734
TOMM34	142.7568	20.4832
SEC63	34.6183	45.9691
KPNA6	47.0182	31.0317
VIM	588.2465	1020.0263
FAS	4.7588	5.4532
RNASET2	4.461	1.526
CD44	93.8684	72.4429
KCNG1	14.9732	0.1119
AGPAT4	4.3479	2.4833
SLAMF7	0.9498	3.1872
BTN3A1	6.9902	22.8493
MIPEP	15.0363	11.5836
PRKCH	6.8203	9.6976
INSRR	0.1631	0.4493
IFNGR1	40.8484	117.9731
B4GALT7	11.8857	8.276
SH2D2A	9.3878	0.9007
VRK2	21.8319	8.2225
TNFRSF1B	11.688	45.3307
VEZT	14.1899	16.7578
POU2F2	2.1395	1.1447
BRD9	18.5965	7.3225
SNX1	18.4922	63.5666
TBPL1	5.04	4.8773
BCLAF1	49.8692	31.9719
SLC39A9	26.6463	36.8315
ANK1	0.1017	0.4008
IBSP	35.0505	0
TFB1M	4.2722	3.2733
RABEP1	13.4086	32.3522
HMGB3	78.183	5.5606
NUP160	17.8148	15.3632
BAK1	51.542	9.0568
MUSK	0.0109	0.099
IKZF2	4.6308	1.6792
GRN	372.7992	160.8349
FAM13B	3.5765	16.2323
ARHGAP31	15.0633	26.015
CENPQ	7.1361	6.3872
RANBP3	16.7815	14.2216
ARID4A	4.1797	13.5634
PNPLA6	20.9517	10.4351
IFT88	4.8666	4.9786
ALG1	7.7354	5.1335
ZCCHC8	5.2821	5.5669
ABCF2	16.2223	4.9242
CHPF2	80.5564	14.0869
LRRC7	0.1113	0.059
FUT8	7.3956	10.2591
UBA6	11.8265	8.8943
GAB2	12.947	28.7333
ATP6V0A1	30.2724	18.506
PIAS1	8.4307	8.8838
SLC4A7	7.5445	7.744
APBA2	15.1161	0.4661
MAP2K3	47.5559	22.5573
TMSB10	13912.7926	2754.6762
ASTE1	4.397	6.8054
RNF19A	140.6142	25.6864
PEX3	9.0446	9.5559
GABARAPL2	46.6795	80.6876
MYOC	0	77.5924
SH3YL1	22.5363	6.5456
FAM136A	78.109	16.0822
VCL	71.767	84.5376
DEPDC1B	5.2832	0.2956
DAPK2	5.1428	7.7911
NSMAF	17.0226	18.7242
STAP1	0.3836	0.9758
TIMP2	185.7014	468.1562
RFC1	20.9859	33.1135
TBC1D23	33.5753	23.3065
CUL3	13.4789	13.2459
MYOM2	0.0778	1.6925
OTC	0	0.2828
CYP46A1	0.2293	1.2299
ZZZ3	15.6255	12.2823
SLC18A1	0	0
USP2	3.1329	0.7271
CASR	0.0042	0
TUBG2	15.2205	22.8197
RPL26L1	33.6494	15.4639
FLT4	5.2421	7.8942
NSUN2	97.8333	17.0137
FBXO42	10.2737	8.2081
MFAP3	5.4728	8.615
MRI1	6.6652	4.9062
METTL1	18.7844	6.6893
HOXC8	5.1609	15.4494
AGA	23.5782	17.6731
PI4K2B	15.0431	10.8731
BOD1L1	7.3827	13.8356
MAT2B	21.6003	37.1601
TLL1	0.4925	4.3296
EDC4	18.3329	10.1337
TRIO	30.1998	20.5444
VCAN	59.3761	26.1389
CLEC16A	6.1757	4.6057
MSR1	6.3295	6.1093
CDH1	202.2548	28.0048
DNAH5	0.9025	0.8719
ZFYVE16	3.1245	6.6705
C6	0.0514	22.6457
RAI14	77.4197	14.132
SOX30	0.0715	0.1488
PNKP	21.6378	7.064
BEST2	0	0.0327
PHLPP2	3.3868	4.1354
SPDL1	11.6928	2.8635
STAU2	13.8264	14.5341
CTNS	8.7914	8.3583
RTN4R	7.8211	0.6229
PHF23	62.2368	17.0195
CDH10	0	0.201
INPP4A	10.3317	6.3055
RAB27B	8.3694	5.9031
PSMA4	39.601	27.5799
MYO16	0.2094	4.0148
LSG1	35.9483	14.5192
PARP3	4.5669	30.117
TNC	189.6945	69.8528
THAP3	9.1532	10.2647
TDP1	8.7876	4.0884
AIFM2	9.4058	77.0165
C2orf83	0	0.0248
SPATA7	1.67	5.396
MED17	0.4866	0.5132
RETSAT	97.3138	423.127
CAPG	457.6181	41.8739
AP2S1	365.9846	70.0693
USH2A	0.0097	0.0294
ZPBP	0.1521	0.0495
TG	0.3362	0.0894
ADAM28	0.4659	0.8266
BARX2	10.9711	4.094
DCUN1D1	13.5865	11.0946
JADE2	5.9862	13.0767
ZIC2	0.091	0.3025
LCP2	4.2414	5.0797
TRIT1	15.1756	5.4177
ADRB1	0.197	14.5512
GUCA2B	0	0
CUL7	16.0702	12.241
CTNNA1	123.4274	122.1238
PHKA2	8.9435	16.5746
CNTLN	1.3078	2.6398
EPHA3	3.1104	5.342
HSPA5	807.4622	216.9967
DSG2	98.1511	47.6632
GEMIN8	19.2459	16.6186
OFD1	16.0887	10.8591
GPM6B	4.871	7.1653
MAGEC2	0	0
PREX2	0.7855	12.8466
WDR37	18.3633	9.2293
YTHDC2	5.9293	8.5057
CTPS2	23.2743	9.8414
ATP6V1H	28.6722	24.1354
POLR2B	45.8129	39.5673
ARAP2	3.0394	1.7061
TPR	32.9956	33.9847
CP	147.7035	5.2434
DTNBP1	22.0319	13.3955
XK	3.4524	0.2425
ANO2	0.2632	1.2797
C12orf4	11.7252	8.738
SCML1	1.7337	5.4942
WWC3	59.7695	15.9357
ARHGAP6	0.7462	4.0578
FAM184B	0.1038	0.2957
MAP4	121.7449	89.3557
GOPC	21.8211	25.4024
ROS1	1.3021	0.0049
USP28	13.1042	7.8155
HDAC9	4.0104	4.0541
TSPAN17	28.3203	9.5665
NOP16	19.3092	5.3202
CC2D2A	1.697	5.9932
RRM2B	19.5565	19.7926
ZNF800	10.9299	10.1731
TNFRSF17	0.2458	2.4725
SNX29	6.8314	16.842
LMO3	0.4091	12.671
MRPS10	38.2769	52.2526
GUCA1A	0.0154	0
RSF1	9.0217	10.4929
VPS13D	5.6411	16.8385
CELF2	11.5398	56.268
FAM120A	76.6058	63.5362
R3HDM1	27.1209	10.8419
COL9A2	5.3151	1.7349
KITLG	11.3782	25.1107
ERCC8	0.9488	2.6061
ADAMTS6	1.6952	0.6315
H6PD	22.9887	68.7516
VAMP3	88.4533	214.0817
PER3	4.8608	27.92
UTS2	1.6975	0.1689
TNFRSF9	0.4947	0.1294
EPN3	17.5293	1.3068
LTBP1	44.3544	40.1188
RCN1	44.6514	20.6864
ELN	12.0352	57.8687
RFC2	73.568	17.9065
ARID1B	5.6217	5.6363
CLPTM1L	102.9068	34.3035
NEDD4L	4.6212	5.703
FOXP3	0.388	0.5889
PPP1R3F	4.2966	1.3935
HEXB	42.9607	66.6767
PTCD2	1.2644	3.7787
JKAMP	13.2481	19.5159
DKK3	31.1564	16.3336
ARHGEF5	11.3632	3.5401
NFE2L3	28.8959	2.8256
MCUR1	29.499	15.7803
LIMA1	33.7585	119.622
LETMD1	11.4481	44.8759
SLC4A8	0.2617	0.2632
LAMC3	0.9322	0.8616
PTGER3	1.499	66.8827
TNIP3	0.0932	0.0923
MAPK9	13.7122	16.0562
COL23A1	7.3514	0.4322
BCAR1	23.6107	6.6604
HERPUD1	40.3835	55.5438
HOMER3	27.3681	3.8186
RAD51	28.3129	0.9541
POLQ	5.0629	0.2537
PIK3CB	31.1806	22.443
CYBA	58.1473	20.1116
THOC3	7.4214	3.174
HEBP2	25.3236	52.5942
MPHOSPH9	4.3533	3.5862
PLEKHA5	5.487	7.8386
PRSS8	168.2689	5.7304
SIKE1	20.6303	18.889
RRP12	18.2406	3.8708
FNIP2	10.8006	21.9715
MSMO1	47.9534	17.7962
TTC17	11.0206	17.1223
ALX4	0.0523	2.4328
FSTL4	0.119	0.3353
FOXN3	8.9377	55.7642
METTL24	0.3375	1.4391
AKR7A2	61.8859	58.2833
MRTO4	88.2734	21.77
NNAT	1.727	23.9299
USE1	14.1415	17.7989
MCF2L2	0.0412	0.04
NRIP2	1.6667	6.5965
LAMA3	1.0642	18.2747
AP5M1	4.3691	10.0205
ANAPC4	6.0593	8.6317
KCNQ1	7.8117	3.72
TRAPPC3	68.1304	40.9137
THRAP3	92.8772	81.4413
PHPT1	75.9573	45.4433
ENTPD2	0.6048	3.573
LY75	3.5134	1.9607
ARID4B	17.3437	11.7893
OPN3	8.0524	1.3362
SDCCAG8	13.156	9.5304
PTPRN	3.2079	0.0105
HHAT	1.4492	2.5916
KIF1B	16.4623	13.5145
FOXC1	89.7565	8.354
TBC1D22A	22.3426	17.6414
SYNE2	11.6706	16.7546
PLEKHH1	1.751	2.066
ATP9A	61.9721	106.0799
SPO11	0	0
CBLN4	1.1865	2.2636
CHRDL2	0.0628	4.8909
FAM168A	30.8849	28.078
RELT	3.0081	0.3217
GALC	6.7184	16.5985
NOP58	61.0205	18.4363
SZRD1	67.5618	39.382
KCNH2	1.9941	0.2162
CUL1	125.88	42.5605
FAM114A2	6.4865	10.149
CYFIP2	2.999	1.9908
TAB2	42.3546	57.4438
GINM1	25.9678	97.4421
EIF2AK2	32.7269	22.8035
USP36	28.0516	12.7676
KMT2C	15.7337	16.2109
MCOLN3	0.226	3.0375
CCDC85A	0.1092	1.788
PUM2	64.8088	56.6118
MRPL43	17.0926	23.9294
ITIH4	0.0643	0.0557
ITIH1	0.011	0.0286
ZFR	83.8663	46.7071
ZNF280C	2.754	2.5096
NPFFR2	0	0.4402
PHF21B	0	0.0288
TRAF1	5.0274	4.9591
RC3H2	12.6044	15.0392
IL17RB	8.3924	3.1556
TRAF3IP2	8.8748	8.6967
GYG2	10.6377	567.7923
DCBLD2	16.2558	15.5201
SERPINB3	0	0
SOAT1	15.599	15.3496
PKP2	16.973	4.2338
MSH4	0.0458	0.172
F7	0.0263	0.4328
GDI2	490.3065	197.6487
PRDM1	5.5144	2.0513
ATG5	14.9201	17.7744
TMCC3	6.666	8.8771
PITHD1	66.9557	55.3558
MTA3	20.1138	9.8889
USP13	12.7385	10.617
ATP11B	16.7277	24.0531
LAMC2	45.3406	43.6334
CDK14	10.9077	10.9637
SEC61A1	419.1102	116.1552
PPP1R12A	9.6014	15.2193
RASGRF1	0.2451	0.0954
CAMK2B	0.2079	0.1167
CROCC	6.2685	3.2421
POLR3E	8.1634	6.5729
ATP2B4	38.5447	154.8164
ZC3H11A	0.0311	0.0034
RIOK2	9.9354	11.848
YIPF1	36.2942	33.3869
NDC1	50.445	13.3566
DGKG	0.5001	0.4455
FLYWCH1	15.2203	8.4022
UNKL	2.024	4.4285
TBXAS1	1.5277	4.2641
PARP12	25.9528	8.8266
ALDH18A1	111.2723	35.2576
TARBP1	37.9368	8.9759
GATB	1.9336	6.0476
MXD1	19.9864	6.847
CDK17	9.2353	13.2745
DNAJC25	7.2237	13.8747
SLC2A3	25.1983	6.8635
PSD	0.4924	0.1809
CTDP1	14.0366	5.6903
YBX3	63.2532	52.8354
STYK1	13.2861	0.7547
WNK1	45.5093	63.0507
CCAR1	38.7288	19.1672
OGFR	27.9613	9.7452
GNA15	24.1049	4.1022
CREB3L3	0.0377	0.049
PIGV	3.1779	10.0215
PTPRU	35.8721	14.2979
SNRNP40	54.08	16.8869
RIMBP2	0.0362	0.3361
COL11A1	144.9001	0.2475
QSER1	16.0509	12.5269
MPC1	27.9814	86.1744
ACAA1	19.211	17.768
BCAT1	17.4885	5.792
HDAC7	24.2843	20.0481
LZTS1	8.2547	2.7906
PRDM6	0.4811	1.3314
WNT8A	0	0.0217
SPAG4	10.7526	1.4558
NCKAP1	36.3337	23.1275
MRPS35	89.3204	58.4918
SFSWAP	9.2246	7.7568
TNK2	11.5723	7.5372
MON2	5.197	11.0132
CDH3	110.2444	8.7236
ARSF	0.2715	0.0981
GPBP1	22.0875	40.5414
DGAT2	28.1671	296.676
ZNF112	5.1477	3.1935
CS	72.9372	158.7323
LTK	0.2001	0.2231
MRPS24	0.2871	0.1162
ELMO2	14.862	12.8555
VMP1	52.6253	26.9059
APPBP2	7.1135	20.7639
POLD1	33.4624	3.2886
SEZ6	0.0101	0.0785
EIF4B	105.3034	240.0618
SLC6A16	2.8361	2.8211
SPHK2	6.2359	3.9964
RPL18	524.438	227.3396
CA11	9.4355	5.6032
ISOC2	49.7935	14.8517
U2AF2	128.3023	36.5832
EPN1	39.9792	9.3485
MED29	48.4527	35.2893
AHRR	0.0106	0.0046
GSC2	0	0
ZNF275	11.1831	8.9066
MTMR1	15.9589	9.9215
